CIE10,Año,Sexo,Edad,Casos_General,Suma_Especificas,Diferencia
F83,2025,MASCULINO,0 a 15,164,180.0,16.0
O820,2024,FEMENINO,21 a 25,124,133.0,9.0
F83,2024,MASCULINO,0 a 15,153,161.0,8.0
F83,2024,FEMENINO,0 a 15,72,80.0,8.0
O820,2020,FEMENINO,21 a 25,71,77.0,6.0
O820,2024,FEMENINO,26 a 30,164,170.0,6.0
F83,2023,FEMENINO,0 a 15,56,62.0,6.0
O820,2020,FEMENINO,26 a 30,104,109.0,5.0
K01,2021,FEMENINO,26 a 30,50,55.0,5.0
F82,2022,FEMENINO,0 a 15,73,77.0,4.0
O820,2019,FEMENINO,21 a 25,103,107.0,4.0
K01,2021,FEMENINO,31 a 35,47,51.0,4.0
O820,2024,FEMENINO,36 a 40,20,24.0,4.0
O820,2024,FEMENINO,31 a 35,83,87.0,4.0
K01,2021,MASCULINO,31 a 35,25,28.0,3.0
E66,2021,MASCULINO,46 a 50,41,44.0,3.0
S93,2019,MASCULINO,21 a 25,14,17.0,3.0
G80,2025,FEMENINO,0 a 15,16,19.0,3.0
K01,2021,FEMENINO,21 a 25,37,40.0,3.0
F83,2025,FEMENINO,0 a 15,75,78.0,3.0
O820,2019,FEMENINO,26 a 30,89,92.0,3.0
O820,2019,FEMENINO,31 a 35,56,59.0,3.0
E66,2021,FEMENINO,36 a 40,116,119.0,3.0
K01,2022,FEMENINO,26 a 30,127,130.0,3.0
Z348,2025,FEMENINO,21 a 25,195,198.0,3.0
S83,2019,MASCULINO,21 a 25,9,12.0,3.0
P07,2022,MASCULINO,0 a 15,58,61.0,3.0
S923,2024,FEMENINO,46 a 50,5,8.0,3.0
O820,2023,FEMENINO,36 a 40,35,38.0,3.0
P07,2019,MASCULINO,0 a 15,57,59.0,2.0
M511,2023,FEMENINO,56 a 60,10,12.0,2.0
M511,2022,MASCULINO,51 a 55,18,20.0,2.0
S681,2021,MASCULINO,26 a 30,7,9.0,2.0
Q610,2019,MASCULINO,56 a 60,8,10.0,2.0
F84,2022,FEMENINO,0 a 15,26,28.0,2.0
N201,2023,MASCULINO,41 a 45,9,11.0,2.0
F910,2022,MASCULINO,0 a 15,11,13.0,2.0
S72,2021,MASCULINO,Mayor a 61,12,14.0,2.0
M51,2023,MASCULINO,36 a 40,5,7.0,2.0
E66,2022,MASCULINO,56 a 60,51,53.0,2.0
S400,2023,FEMENINO,46 a 50,8,10.0,2.0
N200,2018,MASCULINO,46 a 50,28,30.0,2.0
K42,2024,FEMENINO,56 a 60,9,11.0,2.0
O820,2023,FEMENINO,26 a 30,191,193.0,2.0
S626,2018,MASCULINO,41 a 45,12,14.0,2.0
F431,2024,FEMENINO,31 a 35,4,6.0,2.0
G80,2024,MASCULINO,0 a 15,28,30.0,2.0
N200,2022,MASCULINO,36 a 40,37,39.0,2.0
S821,2018,MASCULINO,41 a 45,8,10.0,2.0
M511,2019,MASCULINO,26 a 30,7,9.0,2.0
N200,2022,FEMENINO,36 a 40,34,36.0,2.0
K42,2023,FEMENINO,56 a 60,9,11.0,2.0
G800,2024,MASCULINO,0 a 15,4,6.0,2.0
G510,2021,FEMENINO,41 a 45,9,11.0,2.0
K80,2025,FEMENINO,51 a 55,42,44.0,2.0
O820,2024,FEMENINO,41 a 45,5,7.0,2.0
O820,2024,FEMENINO,16 a 20,12,14.0,2.0
M17,2021,MASCULINO,41 a 45,11,13.0,2.0
S821,2019,FEMENINO,36 a 40,5,7.0,2.0
O300,2022,FEMENINO,31 a 35,6,8.0,2.0
K01,2021,FEMENINO,36 a 40,27,29.0,2.0
F83,2019,FEMENINO,0 a 15,30,32.0,2.0
M674,2022,FEMENINO,21 a 25,2,4.0,2.0
K01,2022,FEMENINO,31 a 35,109,111.0,2.0
Q796,2019,FEMENINO,0 a 15,14,16.0,2.0
K076,2018,FEMENINO,46 a 50,13,15.0,2.0
K01,2022,FEMENINO,36 a 40,70,72.0,2.0
F83,2023,MASCULINO,0 a 15,119,121.0,2.0
G560,2021,MASCULINO,41 a 45,6,8.0,2.0
S826,2022,MASCULINO,36 a 40,9,11.0,2.0
F341,2023,FEMENINO,46 a 50,12,14.0,2.0
F341,2022,FEMENINO,46 a 50,19,21.0,2.0
S83,2023,MASCULINO,36 a 40,4,6.0,2.0
N816,2019,FEMENINO,46 a 50,3,5.0,2.0
S460,2021,MASCULINO,56 a 60,5,7.0,2.0
S525,2021,MASCULINO,41 a 45,11,13.0,2.0
S83,2020,FEMENINO,51 a 55,2,4.0,2.0
S525,2020,FEMENINO,51 a 55,9,11.0,2.0
F321,2025,MASCULINO,56 a 60,3,5.0,2.0
S826,2019,MASCULINO,31 a 35,17,19.0,2.0
S923,2018,MASCULINO,31 a 35,4,6.0,2.0
K01,2021,FEMENINO,46 a 50,8,10.0,2.0
Q249,2024,MASCULINO,16 a 20,1,2.0,1.0
S631,2022,FEMENINO,46 a 50,1,2.0,1.0
Y835,2023,FEMENINO,41 a 45,1,2.0,1.0
Y835,2023,MASCULINO,56 a 60,6,7.0,1.0
Y835,2024,FEMENINO,46 a 50,1,2.0,1.0
N200,2019,MASCULINO,16 a 20,1,2.0,1.0
C724,2020,MASCULINO,36 a 40,1,2.0,1.0
Y835,2024,MASCULINO,51 a 55,3,4.0,1.0
N200,2019,MASCULINO,46 a 50,21,22.0,1.0
I85,2019,MASCULINO,Mayor a 61,2,3.0,1.0
G562,2018,FEMENINO,36 a 40,2,3.0,1.0
S64,2021,MASCULINO,26 a 30,1,2.0,1.0
G562,2019,FEMENINO,36 a 40,4,5.0,1.0
G562,2022,FEMENINO,46 a 50,4,5.0,1.0
G563,2018,FEMENINO,26 a 30,1,2.0,1.0
F418,2025,FEMENINO,31 a 35,1,2.0,1.0
Y835,2022,FEMENINO,Mayor a 61,3,4.0,1.0
S636,2022,FEMENINO,26 a 30,1,2.0,1.0
M160,2023,FEMENINO,56 a 60,1,2.0,1.0
S680,2019,MASCULINO,41 a 45,1,2.0,1.0
S681,2018,MASCULINO,16 a 20,4,5.0,1.0
C67,2018,MASCULINO,Mayor a 61,3,4.0,1.0
F42,2023,FEMENINO,56 a 60,3,4.0,1.0
F42,2022,MASCULINO,46 a 50,1,2.0,1.0
F42,2021,MASCULINO,36 a 40,3,4.0,1.0
S636,2024,FEMENINO,31 a 35,1,2.0,1.0
M16,2022,MASCULINO,46 a 50,3,4.0,1.0
M170,2019,MASCULINO,56 a 60,9,10.0,1.0
C67,2023,FEMENINO,56 a 60,1,2.0,1.0
C672,2021,MASCULINO,Mayor a 61,2,3.0,1.0
I85,2022,FEMENINO,46 a 50,1,2.0,1.0
C672,2023,MASCULINO,Mayor a 61,1,2.0,1.0
S680,2020,MASCULINO,41 a 45,3,4.0,1.0
Y880,2023,FEMENINO,56 a 60,1,2.0,1.0
N200,2018,MASCULINO,56 a 60,13,14.0,1.0
Y835,2025,FEMENINO,46 a 50,3,4.0,1.0
M160,2025,MASCULINO,46 a 50,1,2.0,1.0
F412,2024,MASCULINO,21 a 25,9,10.0,1.0
N200,2019,MASCULINO,Mayor a 61,61,62.0,1.0
S666,2021,MASCULINO,26 a 30,4,5.0,1.0
S664,2025,FEMENINO,36 a 40,1,2.0,1.0
S662,2022,MASCULINO,31 a 35,2,3.0,1.0
N201,2018,FEMENINO,41 a 45,10,11.0,1.0
N201,2018,MASCULINO,46 a 50,5,6.0,1.0
Q249,2022,MASCULINO,0 a 15,1,2.0,1.0
M16,2019,MASCULINO,56 a 60,2,3.0,1.0
Q35,2024,FEMENINO,46 a 50,1,2.0,1.0
N201,2019,FEMENINO,56 a 60,1,2.0,1.0
S663,2022,MASCULINO,31 a 35,1,2.0,1.0
Q249,2022,MASCULINO,16 a 20,1,2.0,1.0
S635,2023,FEMENINO,21 a 25,1,2.0,1.0
N201,2022,FEMENINO,36 a 40,2,3.0,1.0
Q249,2023,MASCULINO,16 a 20,1,2.0,1.0
